	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+		tˀ					1/6	0.2793114842904071
periodicGlottalSource:+;constrictedGlottis:-	b	d	ɡ	ɡʷ			4/6	0.9811619662230788
periodicGlottalSource:+;constrictedGlottis:+		dˀ					1/6	0.27155826060567206
periodicGlottalSource:-;constrictedGlottis:-		t	k	kʷ	q	qʷ	5/6	0.7468223533789329
	1/4	4/4	2/4	2/4	1/4	1/4
	0.3438335118317473	1.0	0.8950599114808846	0.8170361776890539	0.6251571240095176	0.5282233541406354
