	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;lateral:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;front:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;front:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;category:plosive		tˀ			-			1/6	0.2579311064748575
periodicGlottalSource:+;constrictedGlottis:-;category:plosive	b	d	ɡ	ɡʷ				4/7	0.981044578797581
periodicGlottalSource:+;constrictedGlottis:+;category:plosive		dˀ			-			1/6	0.2658480010833909
periodicGlottalSource:-;constrictedGlottis:-;category:plosive | periodicGlottalSource:+,-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:plosive		t	k	kʷ	-	qʷ	q	5/6	0.7404437365818212
periodicGlottalSource:-;constrictedGlottis:+;category:fricative		sˀ					ʃˀ	2/7	0.7635150479913251
periodicGlottalSource:+;constrictedGlottis:-;category:fricative		z	ɣ	ɣʷ	ʕ		ʒ	5/7	0.7481506553502173
periodicGlottalSource:+;constrictedGlottis:+;category:fricative		zˀ	ɣˀ	-			ʒˀ	3/6	0.7584636072828239
periodicGlottalSource:-;constrictedGlottis:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:fricative	f	s	x	xʷ	ħ		ʃ	6/7	0.9860138373173543
	2/8	8/8	5/8	4/7	2/5	1/8	5/8
	0.41226672849326573	1.0	0.9079189880463012	0.8509334410967508	0.9650394769045825	0.28907092767731934	0.9107216865111352
