	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	ts	t̠ʃ̺	k	tɕ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s	ʃ̺	x	ɕ	5/6	0.9006880000764816
spreadGlottis:+;category:plosive | spreadGlottis:+;category:affricate | spreadGlottis:-,+;category:plosive | spreadGlottis:-,+;category:affricate	pʰ	tʰ	tsʰ	t̠ʃ̺ʰ	kʰ	tɕʰ	6/6	1.0
	3/3	2/3	3/3	3/3	3/3	3/3
	1.0	0.9257349579337878	1.0	1.0	1.0	1.0
