	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-		t̠ʃ	1/2	0.5344365003831408
constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	t̠ʃʼ	2/2	1.0
	1/2	2/2
	0.2185917103248128	1.0
