	labial:-;strident:+;high:0;low:0;front:0;back:0 | labial:-;strident:-,+;high:0;low:0;front:0;back:0	labial:-,-,+;strident:-,+;high:0;low:0;front:0;back:0	count	markedness_count
sonorant:-;nasal:-	d̠ʒ	-	1/1	1.0
sonorant:+,-;nasal:+,-	n̠d̠ʒ	n̠d̠ʒʷ	2/2	1.0
	2/2	1/1
	1.0	1.0
