	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,-,+ | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,+	labial:+;labiodental:+,+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:+	labial:-,-,+;labiodental:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:+	labial:-,-,+;labiodental:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+;high:0;low:0;front:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive		-		t		tʷ	-	-	k	kʷ	4/7	0.7059055236476541
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	bʷ	-	b	d	d̠ʒ	dʷ	-	-	ɡ	ɡʷ	7/7	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	fʷ	-	f	s	ʃ	sʷ	-	-		ʃʷ	6/7	0.8102021577688686
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative		-	v	z		zʷ	-	-	ɣ		4/7	0.8459294184851653
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	-	ɱv	nz		-	nzʷ	-			3/6	0.9320004908906317
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-	ɱfʷ	ɱf	ns	n̠ʃ	-	nsʷ	n̠ʃʷ	-	-	6/6	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mbʷ	-	mb	nd	n̠d̠ʒ	ndʷ		n̠d̠ʒʷ	ŋɡ	ŋɡʷ	8/9	0.9999468909175454
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive		-		nt		ntʷ	-		ŋk	ŋkʷ	4/8	0.6971600264501182
	3/6	1/1	6/8	8/8	4/8	6/6	2/3	2/3	5/7	5/7
	0.6365736495068489	1.0	0.496587593691636	1.0	0.43375903574198577	1.0	0.8333333333333338	0.7500000000000001	0.8753714687833436	0.9467488183501411
