	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,+	labial:+;labiodental:+,+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,-,+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+	labial:-,-,+;labiodental:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:+	labial:-,-,+;labiodental:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	fʷ	-	s	sʷ	ʃʷ	-	-	ʃ	6/6	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v		-	z	zʷ		-	-	ɣ	4/6	0.9942764350156771
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	-	-	nz	-	-	nzʷ	-		3/4	0.93664372520418
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	ɱf	-	ɱfʷ	ns	-	-	nsʷ	n̠ʃʷ	n̠ʃ	6/6	1.0
	4/4	1/2	1/1	4/4	2/2	1/2	2/2	1/1	3/4
	1.0	0.9721589332776838	1.0	1.0	1.0	0.5422640305835951	1.0	1.0	0.9998297668153313
