	labial:+;coronal:-;dorsal:-;round:-	labial:+;coronal:-;dorsal:-;round:-,+ | labial:+;coronal:-;dorsal:-;round:-,-,+	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+ | labial:-,-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p		t	kp	k	kʷ	5/6	0.9988560203674199
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-		bʷ	d				2/6	0.33105067383502357
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-		mbʷ	nd		ŋɡ	ŋɡʷ	4/6	0.6758487095619423
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ			-		-	1/4	0.39193778706396304
	2/4	2/4	3/4	1/3	2/4	2/3
	0.6763927580871457	0.5094427152141108	0.9726618337302535	0.46778313863018367	0.7317566165960372	0.8353585437338503
