	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
spreadGlottis:-; ͉:-;category:affricate|plosive	p	t	tɕ	k	4/4	1.0
spreadGlottis:-; ͉:+;category:affricate|plosive	p͉	t͉	t͉ɕ͉	k͉	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-; ͉:-;category:fricative		s			1/4	0.6780976801250254
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-; ͉:+;category:fricative	-	s͉	-	-	1/1	1.0
spreadGlottis:+;category:plosive | spreadGlottis:+;category:affricate | spreadGlottis:-,+;category:plosive | spreadGlottis:-,+;category:affricate	pʰ	tʰ	tɕʰ	kʰ	4/4	1.0
	3/4	5/5	3/4	3/4
	0.8419869567962608	1.0	0.7695586754077648	0.8781787050975873
