	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;round:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;round:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;round:0;strident:+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:0;strident:-	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,+;coronal:+;anterior:-;distributed:+;dorsal:+;round:+;strident:-;front:+ | labial:-,-,+;coronal:+;anterior:-;distributed:+;dorsal:+;round:+;strident:-;front:+ | labial:-,+;coronal:+;anterior:-;distributed:+;dorsal:-;round:+;strident:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;anterior:-;distributed:+;dorsal:-;round:+;strident:+;high:0;low:0;front:0;back:0 | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;round:0;strident:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;round:0;strident:-;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-,+;round:0;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̻	t	ʈ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative					xʷ	1/5	0.23138264262398964
	1/2	1/2	1/2	1/2	2/2
	0.7008776193210051	0.28296699066131287	0.522535587267714	0.7689876389011603	1.0
