	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	ʈ	c	k	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b		ɖ	ɟ	ɡ	4/5	0.6926787966913891
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ɳɖ	ɲɟ	ŋɡ	5/5	1.0
	3/3	2/3	3/3	3/3	3/3
	1.0	0.6992239708200623	1.0	1.0	1.0
