	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ		-		1/3	0.3922256204908806
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;category:fricative	v	z	-	ɣ	3/3	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-		2/3	0.8727211838529629
	5/5	4/5	2/2	3/5
	1.0	0.9877823893421214	1.0	0.8622522114198875
