	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪|d	d̪z̪|dz	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s̪|s		2/4	0.7805754038393798
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ|tʰ	t̪s̪ʰ|tsʰ	kʰ	4/4	1.0
	3/3	2/3	3/3	2/3
	1.0	0.8430671056514618	1.0	0.7267449820987204
