	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪z̪|dz	1/1	1.0
periodicGlottalSource:-;spreadGlottis:+	t̪s̪ʰ|tsʰ	1/1	1.0
	2/2
	1.0
