	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d					2/6	0.655518018442574
periodicGlottalSource:-	p	t	pʲ	tʲ	k	kʲ	6/6	1.0
	2/2	2/2	1/2	1/2	1/2	1/2
	1.0	1.0	0.619528994012422	0.646099549244264	0.7407770089337997	0.5585281024015436
