	labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ð		z	ʒ	ɣ	4/5	0.9795305169168004
periodicGlottalSource:-	θ	ɬ	s	ʃ	x	5/5	1.0
	2/2	1/2	2/2	2/2	2/2
	1.0	0.9048884957099266	1.0	1.0	1.0
