	labiodental:0;lateral:-;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	t̪θ		ts	t̠ʃ	3/4	0.9697748160536335
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+ | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	t̪θʼ	tɬʼ	tsʼ	t̠ʃʼ	4/4	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:- | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-	t̪θʰ	tɬʰ	tsʰ	t̠ʃʰ	4/4	1.0
	3/3	2/3	3/3	3/3
	1.0	0.5373715805325807	1.0	1.0
