	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	t	k	2/2	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	tʰ	kʰ	2/2	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	tʼ	kʼ	2/2	1.0
	3/3	3/3
	1.0	1.0
