	labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	t̪θ	t		ts	t̠ʃ	k	5/6	0.9940967939098165
periodicGlottalSource:+;category:fricative	ð			z	ʒ	ɣ	4/6	0.9790433951292065
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	t̪θʼ	tʼ	tɬʼ	tsʼ	t̠ʃʼ	kʼ	6/6	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	t̪θʰ	tʰ	tɬʰ	tsʰ	t̠ʃʰ	kʰ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	θ		ɬ	s	ʃ	x	5/6	0.9999632967470696
	5/5	3/5	3/5	5/5	5/5	5/5
	1.0	0.999802456526844	0.7721058352687339	1.0	1.0	1.0
