	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ			2/4	0.6700320385168587
periodicGlottalSource:-	s	ʃ	x	χ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.7104002923559953	0.6958683155352414
