	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ		-	-		1/3	0.40662334864933586
periodicGlottalSource:+;category:fricative	v			-		1/4	0.27338423696899294
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t		kp	k	4/5	0.8223683312951129
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-		2/4	0.6996525911823187
	5/5	2/5	2/4	2/2	2/5
	1.0	0.8807530155565857	0.4991975467553683	1.0	0.813686642648233
