	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t̪	k	q	4/4	1.0
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-	mp	n̪t̪	ŋk	ɴq	4/4	1.0
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-	mpʰ	n̪t̪ʰ	ŋkʰ	ɴqʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	t̪ʰ	kʰ	qʰ	4/4	1.0
	4/4	4/4	4/4	4/4
	1.0	1.0	1.0	1.0
