	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v		ʒ	ʐ	3/4	0.45805415940613403
periodicGlottalSource:-	f	s̪	ʃ	ʂ	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.7908157692066677	1.0	1.0
