	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+ | labial:-,-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	kp	k	kʷ	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb	ŋɡ	ŋɡʷ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
