	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv		1/2	0.3405523525702766
	2/2	1/2
	1.0	0.7866597475266461
