	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	ɓ	ɗ̪|ɗ			2/4	0.8105499659789633
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̪ʰ|tʰ	cʰ	kʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪|s			1/4	0.7219238242820752
	3/4	4/4	2/4	2/4
	0.783207068262283	1.0	0.7215819971783758	0.8230711254533054
