	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+	ɓ	ɗ̪|ɗ			2/4	0.8105499659789633
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-	p	t̪|t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-	pʰ	t̪ʰ|tʰ	cʰ	kʰ	4/4	1.0
	3/3	3/3	2/3	2/3
	1.0	1.0	0.9116019524662681	0.9923427350759264
