	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪z̪	d̠ʒ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	t̪s̪ʰ	t̠ʃʰ	2/2	1.0
	2/2	2/2
	1.0	1.0
