	labial:+;coronal:-;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:+;coronal:-;distributed:0;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:+;distributed:-;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;front:-,+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b		bʲ		ɡ	ɡʲ	ɢ	5/7	0.8732694131433006
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	pʲʰ	tʲʰ	kʰ			5/7	0.8229941310769344
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+		d̪̥		d̥ʲ				2/7	0.15838648927290108
	2/3	2/3	2/3	2/3	2/3	1/3	1/3
	0.45925470261661383	0.7372603587947764	0.5501523679426877	0.6465765358209727	0.38785503985519804	0.44499864652830434	0.11885951556205916
