	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;front:+;back:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-,+;front:-,+;back:+,-;round:0	count	markedness_count
periodicGlottalSource:+		ɮ		ɮʲ			2/6	0.024034275931940626
periodicGlottalSource:-	s̪		ʃ		χ	χʲ	4/6	0.9341756958800912
	1/2	1/2	1/2	1/2	1/2	1/2
	0.7895707498308794	0.09511150429007344	0.784333365145307	0.18026910005121283	0.6980646335439697	0.5555555555555556
