	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;front:+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-,+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-,+;front:-,+;back:+,-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b		d̪z̪		d̠ʒ	bʲ	-		ɡ	ɡʲ	ɢ	-	7/10	0.8893722892625825
periodicGlottalSource:+;category:fricative				ɮ			ɮʲ						2/12	0.015502401532581943
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s̪		ʃ						χ	χʲ	4/12	0.5772338157992101
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	t̪s̪ʰ		t̠ʃʰ	pʲʰ	-	tʲʰ	kʰ			-	7/10	0.8520589850759712
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+;category:affricate|plosive		d̪̥					-	d̥ʲ					2/11	0.12770161584870712
	2/5	2/5	3/5	1/5	3/5	2/5	1/2	2/5	2/5	1/5	2/5	1/3
	0.35526325198765774	0.6241201274746783	0.6198196518176751	0.06075845756312123	0.5180167243278407	0.3579973524887518	0.18026910005121283	0.5058357284170745	0.33286417329607726	0.3595921053725628	0.33030389726639725	0.3846153846153846
