	ɮ		ɮʲ			2/6	0.024034275931940626
s̪		ʃ		χ	χʲ	4/6	0.9341756958800912
1/2	1/2	1/2	1/2	1/2	1/2
0.7895707498308794	0.09511150429007344	0.784333365145307	0.18026910005121283	0.6980646335439697	0.5555555555555556
