	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ	ʃʰ	ɕʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-	z	ʒ	ʑ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	s	ʃ	ɕ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
