	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	ᶑʼ	cʼ	kʼ	5/5	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d		ɟ	ɡ	4/5	0.9729143243794409
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t		c	k	3/5	0.6692647093056594
	2/3	3/3	1/3	3/3	3/3
	0.4217690621891461	1.0	0.020900142082722697	1.0	1.0
