	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		ɡ	ɡʷ	4/5	0.8844254448993556
periodicGlottalSource:+;category:fricative			z			1/5	0.3960271809301425
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k	kʷ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s			1/5	0.4981872619903383
	2/4	2/4	3/4	2/4	2/4
	0.7769238096159985	0.9036894656578184	0.8928428630400594	0.8231799477121992	0.7364542751461084
