	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0;round:-;retractedTongueRoot:-	labial:-;coronal:+;distributed:0;dorsal:-;high:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:0;retractedTongueRoot:-	labial:-,+;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:+;retractedTongueRoot:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:0;retractedTongueRoot:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:0;retractedTongueRoot:-,+	labial:-,+;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:+;retractedTongueRoot:-	labial:-,+;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:+;retractedTongueRoot:-,+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ|tʼ	kʼ	kʷʼ	qʼ	qˤʼ	qʷʼ	qʷˤʼ	8/8	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪|d	ɡ	ɡʷ	ɢ	ɢˤ	ɢʷ	ɢʷˤ	8/8	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	t̪ʰ|tʰ	kʰ	kʷʰ	qʰ	qˤʰ	qʷʰ	qʷˤʰ	8/8	1.0
	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
