	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
fortis:+	p͈	t͈	ʈ͈	ȶ͈	k͈	5/5	1.0
fortis:-; ͉:+	p͉		ʈ͉	ȶ͉	k͉	4/5	0.7089787638955453
	2/2	1/2	2/2	2/2	2/2
	1.0	0.021590764656942835	1.0	1.0	1.0
