	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-,+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡb		ɡ	5/6	0.9997350142775693
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s	-	-		2/4	0.7301236789593826
periodicGlottalSource:-;category:affricate|plosive		t	ts	kp	kpʷ	k	5/6	0.7954573112650668
	2/3	2/3	3/3	2/2	1/2	2/3
	0.45378497423808617	0.9486623782551034	1.0	1.0	0.5223552024932423	0.8703076603118558
