	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;round:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɖ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:-		t̪	ʈ	k	kʷ	4/5	0.6757097173382269
	1/2	2/2	2/2	2/2	2/2
	0.3520981260077749	1.0	1.0	1.0	1.0
