	labial:+;labiodental:-;coronal:-;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+		fʰ	sʰ	2/3	0.9602920133700485
periodicGlottalSource:+;spreadGlottis:-	β	v	z	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	ɸ	f	s	3/3	1.0
	2/3	3/3	3/3
	0.9977711495066999	1.0	1.0
