b	d	ɡb	ɡ	4/4	1.0
p	t	kp	k	4/4	1.0
	tʰ		kʰ	2/4	0.7311250109924349
2/3	3/3	2/3	3/3
0.8929223597414414	1.0	0.9995394491542985	1.0
