	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;round:0;strident:+	labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;round:0;strident:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:+;strident:- | labial:-,-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:+;strident:- | labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;strident:+;high:0;low:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;strident:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	ɖ	ɟ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪		c	k	kʷ	5/6	0.9345606035994032
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	v	ð					2/6	0.6999592915484434
	3/3	3/3	1/3	2/3	2/3	2/3
	1.0	1.0	0.1686393980397731	0.9447207101374923	0.9376568988463825	0.940669772925532
