	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɖ	ɟ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:-	p	t̪		c	k	kʷ	5/6	0.9345606035994032
	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	0.18254808563574523	1.0	1.0	1.0
