	d̠ʒ	1/2	0.651283214178049
t̪s̪|ts	t̠ʃ	2/2	1.0
t̪s̪ʼ|tsʼ		1/2	0.5262673247440065
2/3	2/3
0.8346980596283916	0.8406818234341266
