	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-		t̪ʼ|tʼ	kʼ	2/3	0.684727702509148
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:+		ɗ̪|ɗ		1/3	0.05705514225526796
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-		t̪|t	k	2/3	0.5966433117777752
	1/4	4/4	3/4
	0.3158459763142322	1.0	0.9880015935297997
