	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz	d̠ʒʲ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	ts	t̠ʃʲ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ	t̠ʃʲʰ	2/2	1.0
	3/3	3/3
	1.0	1.0
