	labial:+;coronal:-;distributed:0;dorsal:-;front:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-	labial:-;coronal:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;distributed:+;dorsal:+;front:+;strident:+;anterior:+;high:+;low:-;back:-	count	markedness_count
periodicGlottalSource:+			z̺	1/3	0.5911298510722062
periodicGlottalSource:-	ɸ	x	ɕ	3/3	1.0
	1/2	1/2	2/2
	0.6625210710769323	0.6980646335439697	1.0
