	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;front:+;anterior:+	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
fortis:+;category:plosive	p͈	t̺͈	ȶ͈	k͈	4/4	1.0
fortis:-; ͉:+;category:plosive | fortis:-; ͉:-;category:plosive	p͉	t̺͉			2/4	0.6109639372792334
periodicGlottalSource:+;category:fricative		z̺			1/4	0.5447293545294499
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ		ɕ	x	3/4	0.32551266896221226
	3/4	3/4	2/4	2/4
	0.9245183123513998	0.6269281195332922	0.19032373397231536	0.14053203021758967
