	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	ɸʰ			1/3	0.04221688416400213
periodicGlottalSource:+;spreadGlottis:-		z	ʒ	2/3	0.6504262120756149
periodicGlottalSource:-;spreadGlottis:-		s	ʃ	2/3	0.7770456513401658
	1/3	2/3	2/3
	0.0007283333082871126	0.992550326572103	0.9997140072510211
