	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	d̠ʒ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;category:fricative		z	ʒ			2/5	0.4625190417477834
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̠ʃ	k	kʷ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ	x		4/5	0.9592815824712119
	3/4	4/4	4/4	3/4	2/4
	0.9241790684885567	1.0	1.0	0.9477381366921813	0.7364542751461084
