	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b		d		ɖ	ɖʐ	ɡ		dʑ	6/9	0.8802989061212845
periodicGlottalSource:+;category:fricative				z				ʁ		2/9	0.4402913875752222
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p		t	ts	ʈ	ʈʂ	k	q	tɕ	8/9	0.9903437237459606
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ		s		ʂ	x		ɕ	6/9	0.8772685271024758
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ		tʰ	tsʰ	ʈʰ	ʈʂʰ	kʰ	qʰ	tɕʰ	8/9	0.9913514085203583
	4/5	1/5	3/5	4/5	3/5	4/5	4/5	3/5	4/5
	0.9241384514224245	0.5780544601446944	0.931042028796365	0.8972189055740503	0.9496237466911986	0.8887453915081784	0.9624019331439271	0.6724695817456758	0.9080640700998206
