	ɖʐ	dʑ	2/3	0.15181581977539618
ts	ʈʂ	tɕ	3/3	1.0
tsʰ	ʈʂʰ	tɕʰ	3/3	1.0
2/3	3/3	3/3
0.7941905013013291	1.0	1.0
