	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɡ		4/5	0.9830710196295341
periodicGlottalSource:-;spreadGlottis:-	p	t	ʈ	k	q	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	ʈʰ	kʰ	qʰ	5/5	1.0
	3/3	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	1.0	0.8827919327329687
