	labial:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪z̪|dz		2/3	0.6327139656679897
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪|s		1/3	0.7366759088107278
periodicGlottalSource:-;category:affricate|plosive		t̪|t	k	2/3	0.7680761725678984
	1/3	3/3	1/3
	0.29731697261752427	1.0	0.6227784394032676
