	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b			1/3	0.46300647726248495
periodicGlottalSource:-		t̪|t	k	2/3	0.608823628169914
	1/2	1/2	1/2
	0.35307331597901326	0.6775696423746886	0.7131090135848781
