	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:+				c̤		1/5	0.030512129534207115
periodicGlottalSource:-;spreadGlottis:-	p	t̪	ʈ	c	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	ʈʰ		kʰ	4/5	0.9354388681369387
	3/4	3/4	3/4	3/4	3/4
	0.9938733656086534	0.9859957634288014	0.9914990773481114	0.8909471381913421	0.9900863049928549
