	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:+;coronal:-;distributed:0;dorsal:-;round:-,+	labial:-;coronal:+;distributed:+;dorsal:-;round:0	labial:-;coronal:+;distributed:-;dorsal:-;round:0	labial:-,+;coronal:+;distributed:+;dorsal:-;round:+	labial:-,+;coronal:+;distributed:-;dorsal:-;round:+	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ		d	-	dʷ	ɡ	ɡʷ	6/7	0.9325784001704142
periodicGlottalSource:-	p	pʷ	t̪	t	t̪ʷ	tʷ	k	kʷ	8/8	1.0
	2/2	2/2	1/2	2/2	1/1	2/2	2/2	2/2
	1.0	1.0	0.6685432490644522	1.0	1.0	1.0	1.0	1.0
