	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	bʷ			d		d̠ʒ	dʷ	d̠ʒʷ		ɡ	ɡʷ	8/12	0.8738904072182898
periodicGlottalSource:+;category:fricative	β	βʷ	v	vʷ		z		-	zʷ	βʲ			7/11	0.6084462125057485
periodicGlottalSource:-;category:affricate|plosive	p	pʷ		-	t	t̪	t̠ʃ	tʷ	t̪ʷ		k	kʷ	9/11	0.9981721573901263
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			f	fʷ		s	ʃ		sʷ				5/12	0.6936617345707053
	3/4	3/4	2/4	2/3	2/4	3/4	3/4	2/3	4/4	1/4	2/4	2/4
	0.9637303765238994	0.9424097873444575	0.9934889234505622	0.9974300703931522	0.941195015445833	0.8754032282689754	0.9236936179361749	0.9698399024412463	1.0	0.18603145604444044	0.82328415610326	0.7468217438153808
