	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;round:-,+	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;anterior:+;distributed:-;dorsal:-;round:+	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,+;round:-	count	markedness_count
periodicGlottalSource:+	β	βʷ	v	vʷ	z		zʷ	βʲ	7/8	0.828368598239597
periodicGlottalSource:-			f	fʷ	s	ʃ	sʷ		5/8	0.9519566947464857
	1/2	1/2	2/2	2/2	2/2	1/2	2/2	1/2
	0.5610997274490522	0.095847192366057	1.0	1.0	1.0	0.7783204924998441	1.0	0.5368632077403817
