	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive		t		kp	c	k	4/6	0.6112696530452774
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive		d	d̠ʒ	ɡb	ɟ	ɡ	5/6	0.7325988259356326
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-			2/4	0.8038629283657579
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f		s	-			2/5	0.7020111505252763
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v		z	-			2/5	0.6802138483168327
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv		nz	-	-		2/4	0.9389131852166317
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive		nd		ŋmɡb	ɲɟ	ŋɡ	4/6	0.5782595815096011
	4/7	4/7	4/6	3/3	3/6	3/7
	0.2512893199773602	0.9024616614485331	0.6013393752651663	1.0	0.7968169934164636	0.8143813979732836
