	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-		t	kp	c	k	4/5	0.7345917542343631
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-		d	ɡb	ɟ	ɡ	4/5	0.6894174917454592
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-		nd	ŋmɡb	ɲɟ	ŋɡ	4/5	0.6584477047750728
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ	-			2/4	0.8038629283657579
	1/4	4/4	3/3	3/4	3/4
	0.033064142613005824	1.0	1.0	0.9473754715370958	0.9942271009636375
