	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ɟʝ	1/2	0.05850937236969791
periodicGlottalSource:-	ts	cç	2/2	1.0
	1/2	2/2
	0.7922038181111707	1.0
