	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	ɡ		4/5	0.9836791297303926
periodicGlottalSource:+;category:fricative					ʁ	1/5	0.08231967698848931
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k	q	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s			1/5	0.5178975002637856
	2/4	2/4	3/4	2/4	2/4
	0.776561221996813	0.9036894656578184	0.8954559513640953	0.8598678076230013	0.6672229522807662
