	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪			ɖ	ɟ	ɡ	5/7	0.8552479827586809
periodicGlottalSource:+;category:fricative				z				1/7	0.4039259731805616
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪		t̪s̪	ʈ	c	k	6/7	0.9880076545648672
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			ɬ	s		ç		3/7	0.5929898695635639
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ		t̪s̪ʰ	ʈʰ	cʰ	kʰ	6/7	0.9894077642821016
	3/5	3/5	1/5	4/5	3/5	4/5	3/5
	0.7751802075349559	0.7590993917787159	0.5780544601446944	0.9000271868099867	0.9496237466911986	0.9568950329285429	0.8191343846957725
